PIDN,Gr,path,EV1,EV2,EV3,EV4
test_0,1,/home/cobigo/devel/CPP/NIP/nip/data/test_0.nii.gz,-71.365673,-57.832205,86.380264,-10.311527
test_1,1,/home/cobigo/devel/CPP/NIP/nip/data/test_1.nii.gz,-72.756161,-71.222863,-76.826256,-3.336437
test_2,1,/home/cobigo/devel/CPP/NIP/nip/data/test_2.nii.gz,59.105465,5.923419,92.719332,-20.919744
test_3,1,/home/cobigo/devel/CPP/NIP/nip/data/test_3.nii.gz,62.786355,48.112022,81.690913,-13.524056
test_4,1,/home/cobigo/devel/CPP/NIP/nip/data/test_4.nii.gz,-138.618869,-138.793138,-127.607346,-4.764452
test_5,1,/home/cobigo/devel/CPP/NIP/nip/data/test_5.nii.gz,50.880185,51.73712,43.379963,-3.648265
test_6,1,/home/cobigo/devel/CPP/NIP/nip/data/test_6.nii.gz,25.683714,10.267793,28.567007,-15.540264
test_7,1,/home/cobigo/devel/CPP/NIP/nip/data/test_7.nii.gz,-61.740124,-126.377474,-4.550488,-36.433501
test_8,1,/home/cobigo/devel/CPP/NIP/nip/data/test_8.nii.gz,-19.517252,-82.584323,50.946458,-14.119752
test_9,1,/home/cobigo/devel/CPP/NIP/nip/data/test_9.nii.gz,-63.850152,-55.606859,-100.461826,-36.153706
test_10,1,/home/cobigo/devel/CPP/NIP/nip/data/test_10.nii.gz,-36.931143,-4.37182,-90.661149,16.508672
test_11,1,/home/cobigo/devel/CPP/NIP/nip/data/test_11.nii.gz,41.309172,8.242641,21.513667,-2.282602
test_12,1,/home/cobigo/devel/CPP/NIP/nip/data/test_12.nii.gz,86.627098,26.657077,88.555898,14.003573
test_13,1,/home/cobigo/devel/CPP/NIP/nip/data/test_13.nii.gz,3.792049,10.610607,-13.600191,-14.248096
test_14,1,/home/cobigo/devel/CPP/NIP/nip/data/test_14.nii.gz,6.671232,-12.937831,-19.229014,-3.059109
test_15,1,/home/cobigo/devel/CPP/NIP/nip/data/test_15.nii.gz,48.293804,23.287831,52.857762,-19.872922
test_16,1,/home/cobigo/devel/CPP/NIP/nip/data/test_16.nii.gz,-54.2703,29.121673,-196.796944,-0.645338
test_17,1,/home/cobigo/devel/CPP/NIP/nip/data/test_17.nii.gz,34.390441,25.474482,79.134494,4.189049
test_18,1,/home/cobigo/devel/CPP/NIP/nip/data/test_18.nii.gz,-60.628857,-37.415632,-59.666739,8.898996
test_19,1,/home/cobigo/devel/CPP/NIP/nip/data/test_19.nii.gz,-18.104266,-11.289271,-72.329063,32.314143
test_20,1,/home/cobigo/devel/CPP/NIP/nip/data/test_20.nii.gz,-165.38679,-241.934829,-73.155462,27.271432
test_21,1,/home/cobigo/devel/CPP/NIP/nip/data/test_21.nii.gz,24.327844,4.992341,23.125728,13.549056
test_22,1,/home/cobigo/devel/CPP/NIP/nip/data/test_22.nii.gz,-56.969597,49.957219,-75.90055,14.683566
test_23,1,/home/cobigo/devel/CPP/NIP/nip/data/test_23.nii.gz,35.754122,-10.429823,85.691747,-4.038783
test_24,1,/home/cobigo/devel/CPP/NIP/nip/data/test_24.nii.gz,-78.414896,-83.315966,-131.208303,7.699468
test_25,1,/home/cobigo/devel/CPP/NIP/nip/data/test_25.nii.gz,66.300538,136.750237,36.744628,-4.158088
test_26,1,/home/cobigo/devel/CPP/NIP/nip/data/test_26.nii.gz,-47.109614,-105.878999,-43.774608,-4.077817
test_27,1,/home/cobigo/devel/CPP/NIP/nip/data/test_27.nii.gz,-73.898129,-107.544445,-101.838102,27.623472
test_28,1,/home/cobigo/devel/CPP/NIP/nip/data/test_28.nii.gz,70.765611,95.029591,-29.449781,-7.874434
test_29,1,/home/cobigo/devel/CPP/NIP/nip/data/test_29.nii.gz,54.227502,98.221081,-5.561573,-7.690922
test_30,1,/home/cobigo/devel/CPP/NIP/nip/data/test_30.nii.gz,6.637363,-35.046293,40.974779,24.8466
test_31,1,/home/cobigo/devel/CPP/NIP/nip/data/test_31.nii.gz,-70.326275,20.632955,-143.943776,16.159657
test_32,1,/home/cobigo/devel/CPP/NIP/nip/data/test_32.nii.gz,63.278708,20.201089,73.929078,-34.005174
test_33,1,/home/cobigo/devel/CPP/NIP/nip/data/test_33.nii.gz,39.422304,108.90755,8.442569,13.733673
test_34,1,/home/cobigo/devel/CPP/NIP/nip/data/test_34.nii.gz,-22.505422,-28.741984,-29.336856,-23.755332
test_35,1,/home/cobigo/devel/CPP/NIP/nip/data/test_35.nii.gz,5.248182,13.895436,11.097598,-5.668971
test_36,1,/home/cobigo/devel/CPP/NIP/nip/data/test_36.nii.gz,-67.91908,-22.878963,-78.000087,-4.00089
test_37,1,/home/cobigo/devel/CPP/NIP/nip/data/test_37.nii.gz,22.710531,80.086065,-28.439438,34.477223
test_38,1,/home/cobigo/devel/CPP/NIP/nip/data/test_38.nii.gz,82.942258,14.738053,148.297006,-0.559885
test_39,1,/home/cobigo/devel/CPP/NIP/nip/data/test_39.nii.gz,32.371517,81.502499,18.058092,-14.14874
